source_number,destination_number,timestamp,duration,cell_tower_id,call_type,call_status,Phone Number,Error,Country,Carrier,Line Type,Anomaly
91979454762,91312630315,2025-01-30 10:17:36,173,TOWER-0343,inbound,busy,91979454762,Invalid number,,,,True
91549474292,91312630315,2025-02-24 13:50:55,1715,TOWER-0343,outbound,completed,91549474292,Invalid number,,,,True
91734094973,91424031237,2025-02-18 19:50:50,1359,TOWER-8436,inbound,busy,91734094973,Invalid number,,,,True
91869768137,91910369500,2025-02-13 15:12:15,1242,TOWER-7250,outbound,busy,91869768137,Invalid number,,,,True
91485229393,91093354349,2025-02-17 17:40:57,478,TOWER-3368,outbound,busy,91485229393,Invalid number,,,,True
91163187366,91180620389,2025-01-30 06:17:38,1494,TOWER-0343,inbound,busy,91163187366,,India (Republic of),,special_services,True
91010423766,91887649006,2025-02-14 12:22:31,1391,TOWER-4475,inbound,failed,91010423766,Invalid number,,,,True
91367415202,91222681581,2025-02-02 13:20:44,1063,TOWER-2878,outbound,missed,91367415202,Invalid number,,,,True
91874870631,91260979439,2025-02-09 05:45:04,1623,TOWER-9804,inbound,missed,91874870631,Invalid number,,,,True
91706093439,91770840544,2025-02-11 07:00:50,1235,TOWER-9799,inbound,failed,91706093439,Invalid number,,,,True
91050290071,91443615369,2025-02-21 18:58:12,1533,TOWER-8962,inbound,missed,91050290071,Invalid number,,,,True
91078503364,91571943445,2025-02-19 21:25:13,1232,TOWER-8962,outbound,busy,91078503364,Invalid number,,,,True
91955764011,91785327985,2025-02-26 10:02:34,388,TOWER-9804,outbound,failed,91955764011,Invalid number,,,,True
91866579349,91637146915,2025-02-26 17:57:00,1161,TOWER-7836,inbound,missed,91866579349,Invalid number,,,,True
91232251077,91875297870,2025-01-30 14:57:58,283,TOWER-2646,inbound,failed,91232251077,Invalid number,,,,True
91527891532,91323059333,2025-02-14 12:13:32,259,TOWER-2878,inbound,completed,91527891532,Invalid number,,,,True
91576792380,91971575747,2025-02-27 15:46:05,661,TOWER-2646,outbound,missed,91576792380,Invalid number,,,,True
91948226685,91770840544,2025-02-02 13:29:28,239,TOWER-8436,inbound,completed,91948226685,Invalid number,,,,True
91944766690,91030893175,2025-02-12 05:28:11,26,TOWER-0343,outbound,missed,91944766690,Invalid number,,,,True
91746734449,91912268086,2025-02-18 23:04:10,1603,TOWER-2558,outbound,missed,91746734449,Invalid number,,,,True
91549474292,91515903215,2025-02-06 04:07:25,249,TOWER-8745,outbound,busy,91549474292,Invalid number,,,,True
91078503364,91313900839,2025-02-18 03:31:14,264,TOWER-2878,inbound,completed,91078503364,Invalid number,,,,True
91050290071,91313900839,2025-01-31 21:04:08,1623,TOWER-8436,inbound,failed,91050290071,Invalid number,,,,True
91382987465,91474062984,2025-02-10 00:36:13,745,TOWER-9804,outbound,failed,91382987465,Invalid number,,,,True
91472692306,91160394347,2025-02-08 05:59:49,814,TOWER-0416,outbound,missed,91472692306,Invalid number,,,,True
91845820336,91968002102,2025-02-04 06:08:34,1490,TOWER-9804,inbound,busy,91845820336,Invalid number,,,,True
91180537454,91443615369,2025-02-24 23:37:24,1461,TOWER-8680,outbound,failed,91180537454,Invalid number,,,,True
91078503364,91424031237,2025-02-17 11:19:59,1553,TOWER-7250,inbound,failed,91078503364,Invalid number,,,,True
91746734449,91964479475,2025-02-18 09:20:51,1341,TOWER-8436,outbound,busy,91746734449,Invalid number,,,,True
91050290071,91356901943,2025-01-29 17:03:56,85,TOWER-2878,inbound,busy,91050290071,Invalid number,,,,True
91232251077,91428812855,2025-02-07 10:09:13,355,TOWER-7252,inbound,busy,91232251077,Invalid number,,,,True
91074779691,91515903215,2025-01-31 05:01:05,230,TOWER-2878,outbound,completed,91074779691,Invalid number,,,,True
91331845717,91603411815,2025-02-27 14:05:19,195,TOWER-2447,inbound,busy,91331845717,Invalid number,,,,True
91676879970,91785327985,2025-02-07 07:15:58,366,TOWER-2558,inbound,failed,91676879970,Invalid number,,,,True
91676478817,91603411815,2025-02-17 23:05:48,213,TOWER-8745,inbound,busy,91676478817,Invalid number,,,,True
91706093439,91388880979,2025-02-16 08:04:55,1497,TOWER-2558,outbound,completed,91706093439,Invalid number,,,,True
91734094973,91471602512,2025-02-22 01:55:57,1439,TOWER-7836,outbound,completed,91734094973,Invalid number,,,,True
91382987465,91175306339,2025-02-18 03:21:31,367,TOWER-8436,inbound,completed,91382987465,Invalid number,,,,True
91163187366,91268564657,2025-02-07 11:41:11,594,TOWER-2447,outbound,failed,91163187366,,India (Republic of),,special_services,True
91554696347,91323059333,2025-02-24 11:44:07,1477,TOWER-4475,inbound,completed,91554696347,Invalid number,,,,True
91163187366,91755286330,2025-02-24 11:22:45,1777,TOWER-8680,inbound,busy,91163187366,,India (Republic of),,special_services,True
91472692306,91013666000,2025-02-16 23:44:14,842,TOWER-8680,outbound,failed,91472692306,Invalid number,,,,True
91163187366,91082297503,2025-02-11 13:12:37,749,TOWER-0709,inbound,completed,91163187366,,India (Republic of),,special_services,True
91050290071,91093354349,2025-02-26 06:00:35,334,TOWER-7250,outbound,failed,91050290071,Invalid number,,,,True
91845820336,91916105741,2025-02-21 23:04:57,247,TOWER-4475,inbound,busy,91845820336,Invalid number,,,,True
91074779691,91941577339,2025-02-07 01:39:19,980,TOWER-8680,inbound,completed,91074779691,Invalid number,,,,True
