timestamp,imsi,imei,cell_id,source_number,destination_number,call_type,duration,location_area_code,signal_strength
2025-02-25 11:03:30,46729608446575,35186504341166,CELL-7820,+91071396720,+91866464005,SMS-MT,38,915,-59
2025-02-25 11:47:18,43648356848709,35917582263426,CELL-9022,+91219776541,+91875529728,SMS-MT,1136,000,-54
2025-02-23 19:00:41,42221022041458,35449754394264,CELL-1900,+91390936670,+91733635245,SMS-MT,1321,966,-55
2025-02-21 17:58:01,40797888601616,35449754394264,CELL-2135,+91071396720,+91035283888,SMS-MT,829,756,-67
2025-02-24 02:12:27,42792542856916,35737068477000,CELL-2824,+91221520617,+91999677236,SMS-MT,1261,865,-69
2025-02-21 08:15:49,43097947301588,35369045726119,CELL-2993,+91400531967,+91572046447,SMS-MT,347,443,-106
2025-02-23 18:06:19,43097947301588,35698914462149,CELL-2824,+91851287144,+91114539458,SMS-MT,64,690,-102
2025-02-27 02:04:13,46729608446575,35686829485430,CELL-2824,+91324665292,+91008794831,MTC,1718,263,-74
2025-02-25 00:30:33,45699699108059,35719532627905,CELL-7820,+91237339747,+91830566338,SMS-MT,997,293,-84
2025-02-24 04:11:44,40407504387502,35369045726119,CELL-6087,+91125708950,+91024312680,MTC,1380,458,-82
2025-02-22 04:14:45,45484353164868,35458594955062,CELL-1900,+91866464005,+91406352454,SMS-MO,1435,625,-59
2025-02-25 15:13:58,45447945510613,35047264367118,CELL-8473,+91323088835,+91654422532,SMS-MT,1236,639,-99
2025-02-23 15:41:35,40797888601616,35392924712272,CELL-5400,+91972127013,+91407086698,SMS-MO,1113,384,-65
2025-02-25 15:28:05,40625297358149,35589099813502,CELL-6498,+91818150466,+91216969270,SMS-MO,220,016,-58
2025-02-26 21:39:10,43648356848709,35185929962348,CELL-5703,+91152174576,+91320272093,MTC,540,309,-112
2025-02-21 11:57:00,46600696221116,35229950225339,CELL-2824,+91713827680,+91248383763,MTC,1232,699,-64
2025-02-22 10:41:53,40260079342617,35075898705616,CELL-6498,+91766154194,+91135015963,MTC,1065,492,-84
2025-02-21 22:25:17,47192750430663,35378084510368,CELL-9022,+91875529728,+91000639483,SMS-MT,1435,897,-102
2025-02-20 22:24:16,49969962063823,35063035727899,CELL-6087,+91400531967,+91323088835,MTC,601,175,-97
2025-02-25 21:40:38,43648356848709,35719532627905,CELL-9022,+91754099162,+91135015963,MTC,104,417,-62
2025-02-21 23:31:24,48862534287472,35427037363928,CELL-5703,+91425362133,+91117872708,SMS-MT,1737,056,-95
2025-02-23 20:55:32,48862534287472,35429865569939,CELL-2135,+91865842571,+91653882592,MOC,1108,744,-113
2025-02-23 14:38:03,43480946643765,35229950225339,CELL-4969,+91142399368,+91733635245,SMS-MO,1446,748,-118
2025-02-21 23:42:48,47279176522856,35458594955062,CELL-5400,+91762152170,+91733635245,MTC,361,922,-73
2025-02-21 10:39:08,43906576784794,35342093986334,CELL-4969,+91159808113,+91355088242,SMS-MT,1669,604,-120
2025-02-23 18:42:15,42341326607568,35084971376639,CELL-6801,+91119441350,+91159808113,SMS-MT,1606,312,-61
2025-02-23 19:10:24,47974704880021,35047264367118,CELL-2265,+91008794831,+91304542653,SMS-MO,1783,046,-85
2025-02-25 18:59:07,46026226962663,35817261615714,CELL-2265,+91406337455,+91525175436,MTC,99,335,-109
2025-02-27 19:54:34,45484353164868,35817261615714,CELL-0603,+91764668407,+91713827680,SMS-MO,1675,518,-61
2025-02-21 11:46:33,46729608446575,35185929962348,CELL-5400,+91832980052,+91320272093,SMS-MT,256,387,-63
2025-02-22 17:02:51,40797888601616,35084971376639,CELL-8473,+91442113074,+91024561784,MTC,1661,849,-111
2025-02-21 23:45:15,47974704880021,35737068477000,CELL-1900,+91355088242,+91960121477,MTC,388,211,-91
2025-02-24 23:42:29,43646527883088,35986717339885,CELL-5703,+91117872708,+91878207173,MOC,1064,623,-120
2025-02-22 16:34:10,40322911370852,35186504341166,CELL-0603,+91402783843,+91182333709,MTC,242,368,-86
2025-02-24 03:08:56,43646527883088,35449754394264,CELL-8473,+91578391406,+91497105822,SMS-MO,115,437,-83
2025-02-21 17:25:59,43370517990547,35190004075170,CELL-2824,+91581110915,+91425362133,SMS-MT,11,914,-66
2025-02-27 17:23:16,42430574388965,35019052337279,CELL-6801,+91823687975,+91427821516,MOC,873,689,-109
2025-02-23 08:31:06,43906576784794,35941659627979,CELL-4969,+91126903585,+91878207173,SMS-MO,1488,924,-73
2025-02-21 22:07:33,47974704880021,35159528974845,CELL-2265,+91620973976,+91126903585,MTC,383,430,-104
2025-02-20 23:12:58,43370517990547,35436131691223,CELL-2265,+91237339747,+91754099162,SMS-MT,407,927,-53
2025-02-25 09:59:33,40407504387502,35737068477000,CELL-1900,+91846209995,+91830566338,SMS-MO,119,197,-108
2025-02-25 02:23:47,44700526054343,35047264367118,CELL-2265,+91733635245,+91903672314,MOC,1161,955,-91
2025-02-22 18:36:14,44535689447151,35686829485430,CELL-2993,+91152174576,+91851287144,MTC,865,903,-58
2025-02-22 20:14:07,49669489156233,35955682455814,CELL-6087,+91960789737,+91823687975,MTC,1064,667,-78
2025-02-21 10:33:22,40454041901801,35229950225339,CELL-2135,+91763954894,+91518887993,SMS-MO,49,517,-80
2025-02-21 00:59:52,48949199562446,35291517987480,CELL-8476,+91525175436,+91578391406,MTC,1416,262,-103
2025-02-27 14:54:31,45484353164868,35378084510368,CELL-6801,+91615039019,+91851287144,MTC,1169,764,-117
2025-02-24 16:37:10,43906576784794,35698914462149,CELL-9022,+91766154194,+91581110915,SMS-MO,1114,349,-53
2025-02-21 11:37:06,40625297358149,35686829485430,CELL-2135,+91119441350,+91024561784,MOC,49,193,-115
2025-02-26 02:52:46,48862534287472,35862639249477,CELL-0603,+91202975757,+91250264599,SMS-MO,1444,680,-111
2025-02-26 12:33:01,47192750430663,35503167740277,CELL-5400,+91820233464,+91312598109,MTC,1735,009,-69
2025-02-22 15:08:31,40074538948554,35159528974845,CELL-2135,+91035283888,+91972127013,SMS-MT,61,176,-75
2025-02-25 23:55:57,47143523149270,35342093986334,CELL-7820,+91142399368,+91762152170,MOC,969,307,-75
2025-02-24 02:15:44,42730475517392,35817261615714,CELL-0910,+91425362133,+91169082411,MTC,383,585,-50
2025-02-26 07:36:40,43370517990547,35960818474893,CELL-6801,+91097984922,+91851287144,SMS-MT,548,137,-114
2025-02-26 15:45:19,42981853422094,35466032962668,CELL-6498,+91830566338,+91237339747,SMS-MT,1280,960,-62
2025-02-27 11:08:09,47166881033751,35683669826301,CELL-2135,+91406337455,+91754099162,MTC,851,534,-50
2025-02-25 12:56:29,45447945510613,35817920871088,CELL-8443,+91597276967,+91312598109,SMS-MT,793,266,-50
2025-02-25 17:04:56,46026226962663,35466032962668,CELL-9505,+91878207173,+91875529728,MOC,546,281,-109
2025-02-21 21:13:38,47166881033751,35019052337279,CELL-2265,+91825452989,+91287906366,MOC,129,705,-50
2025-02-21 05:16:41,40407504387502,35204312892535,CELL-4969,+91748220113,+91442113074,SMS-MO,1612,869,-58
2025-02-22 16:04:26,40454041901801,35009146024049,CELL-2993,+91142399368,+91581110915,SMS-MO,1479,980,-105
2025-02-22 08:11:06,44700526054343,35746010699061,CELL-9505,+91441159533,+91159808113,MTC,797,692,-56
2025-02-20 22:20:43,43906576784794,35554512462827,CELL-2993,+91117872708,+91097984922,MTC,673,232,-84
2025-02-23 22:58:19,40074538948554,35378084510368,CELL-2135,+91287906366,+91182333709,MOC,701,283,-75
2025-02-23 12:00:35,40797888601616,35924995660755,CELL-2135,+91653882592,+91320873131,SMS-MT,917,256,-86
2025-02-21 07:25:16,42341326607568,35575532594928,CELL-6015,+91903672314,+91184627400,SMS-MT,1376,060,-108
2025-02-23 05:54:38,45413461777999,35986717339885,CELL-8476,+91903672314,+91653882592,MOC,731,011,-82
2025-02-21 23:40:17,49751600792329,35986717339885,CELL-6801,+91960789737,+91400531967,MTC,1666,923,-62
2025-02-22 05:10:25,47775754486124,35683669826301,CELL-5703,+91825452989,+91518887993,SMS-MT,686,146,-96
2025-02-23 03:35:14,46729608446575,35186649731922,CELL-6498,+91117872708,+91320272093,SMS-MO,56,521,-59
2025-02-26 13:16:56,47775754486124,35685357871471,CELL-5400,+91219776541,+91184627400,MOC,656,856,-116
2025-02-23 04:01:43,49751600792329,35897916602267,CELL-1900,+91390936670,+91427821516,MOC,1086,533,-115
